               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.064356,            0.011494,                   0,                   0,                   0,                   0,                   0,            0.039767,           0.0070947,                   0,            1.28e-05,            1.28e-05,            0.049813
                   1,            0.058451,            0.012095,                   0,                   0,                   0,                   0,                   0,            0.039239,           0.0070876,                   0,          2.8799e-05,          2.8799e-05,            0.049579
                   2,            0.063126,            0.012446,                   0,                   0,                   0,                   0,                   0,            0.038832,            0.007083,                   0,          4.4796e-05,          4.4796e-05,            0.049345
                   3,            0.062981,            0.012374,                   0,                   0,                   0,                   0,                   0,            0.038538,           0.0070733,                   0,          6.0787e-05,          6.0787e-05,            0.049111
                   4,            0.063962,            0.011651,                   0,                   0,                   0,                   0,                   0,            0.038281,           0.0070566,                   0,           7.677e-05,           7.677e-05,            0.048877
                   5,            0.062832,            0.011615,                   0,                   0,                   0,                   0,                   0,             0.03789,           0.0070565,                   0,          9.2744e-05,          9.2744e-05,            0.048643
                   6,            0.059792,            0.011334,                   0,                   0,                   0,                   0,                   0,             0.03761,           0.0070422,                   0,          0.00010871,          0.00010871,            0.048409
                   7,            0.063797,            0.011689,                   0,          7.5758e-05,           0.0096154,          3.8799e-05,          3.8799e-06,            0.037258,           0.0070335,                   0,          0.00012465,          0.00012465,            0.048175
                   8,            0.055188,            0.011652,                   0,          0.00015152,            0.019231,          7.7997e-05,          7.7997e-06,            0.036933,           0.0070265,                   0,          0.00014058,          0.00014058,            0.047941
                   9,            0.059651,            0.013062,                   0,          0.00015152,            0.019231,          7.8041e-05,          7.8041e-06,            0.036608,           0.0070228,                   0,          0.00015649,          0.00015649,            0.047706
                  10,            0.055737,            0.012301,                   0,          0.00022727,            0.028846,          0.00011891,          1.1891e-05,            0.036266,           0.0070184,                   0,          0.00017238,          0.00017238,            0.047472
                  11,            0.060785,            0.012354,                   0,          0.00022727,            0.028846,          0.00011896,          1.1896e-05,            0.035948,           0.0070141,                   0,          0.00018825,          0.00018825,            0.047238
                  12,            0.054452,            0.011726,                   0,           0.0035838,             0.43269,           0.0025555,          0.00042235,            0.035734,           0.0070072,                   0,          0.00020409,          0.00020409,            0.047004
                  13,            0.057529,            0.012266,                   0,           0.0035212,             0.42308,           0.0024959,          0.00046086,            0.035468,           0.0070022,                   0,           0.0002199,           0.0002199,             0.04677
                  14,            0.057944,            0.013729,                   0,           0.0040649,             0.49038,           0.0030559,          0.00046238,            0.035197,           0.0069975,                   0,          0.00023568,          0.00023568,            0.046536
                  15,            0.059831,            0.012088,                   0,           0.0042876,                 0.5,           0.0031431,           0.0004752,            0.035003,           0.0069921,                   0,          0.00025143,          0.00025143,            0.046301
                  16,            0.058339,            0.012475,                   0,           0.0040152,             0.50962,           0.0032486,          0.00049145,            0.034803,           0.0069853,                   0,          0.00026714,          0.00026714,            0.046067
                  17,            0.060481,            0.011489,                   0,           0.0040909,             0.51923,           0.0032964,          0.00050114,             0.03464,           0.0069753,                   0,          0.00028282,          0.00028282,            0.045833
                  18,             0.05631,            0.012453,                   0,           0.0041667,             0.52885,           0.0033978,          0.00051982,            0.034403,           0.0069722,                   0,          0.00029846,          0.00029846,            0.045598
                  19,            0.052358,            0.012298,                   0,           0.0043939,             0.55769,           0.0036311,          0.00054653,              0.0342,           0.0069675,                   0,          0.00031405,          0.00031405,            0.045364
                  20,            0.055812,            0.012542,                   0,           0.0043939,             0.55769,           0.0036693,          0.00057482,            0.033943,            0.006966,                   0,           0.0003296,           0.0003296,             0.04513
                  21,            0.055814,            0.013593,                   0,           0.0048485,             0.61538,           0.0039565,          0.00057986,            0.033764,             0.00696,                   0,           0.0003451,           0.0003451,            0.044895
                  22,            0.056672,            0.012851,                   0,           0.0047727,             0.60577,           0.0038814,          0.00052076,            0.033623,           0.0069579,                   0,          0.00036056,          0.00036056,            0.044661
                  23,            0.055581,             0.01347,                   0,           0.0052275,             0.66346,           0.0043682,          0.00070463,            0.033462,           0.0069533,                   0,          0.00037596,          0.00037596,            0.044426
                  24,            0.055427,            0.013038,                   0,           0.0052273,             0.66346,           0.0043855,           0.0006925,            0.033413,           0.0069402,                   0,          0.00039131,          0.00039131,            0.044191
